sku,exw_usd_base
opthimus 15,18.17
opthimus 21,27.5
opthimus 25,33
presidente 15,14
presidente 23,22.83
presidente gran anejo,8
quorhum 12,14
quorhum 15,17.5
quorhum 23,23.67
quorhum 30,31.5
unhiq xo,43.83
