"sku","pvp_eur","exw_usd","exw_eur"
"opthimus 15",59,18.17,16.8008574636364
"opthimus 21",79,27.5,25.427825
"opthimus 25",99,33,30.51339
"presidente 15",38.9,14,12.9450745454545
"presidente 23",44.9,22.83,21.1097179909091
"presidente gran anejo",32,8,7.39718545454546
"quorhum 12",36.55,14,12.9450745454545
"quorhum 15",46,17.5,16.1813431818182
"quorhum 23",66,23.67,21.8864224636364
"quorhum 30",100,31.5,29.1264177272727
"unhiq xo",110,43.83,40.5273298090909
